track_id,frame,label,cx,cy,cx_smooth,cy_smooth,vx,vy,confirmed
39,26,car,392.5,257.5,399.98588055566,257.58018610513295,-0.0008521936769326629,-1.2961883575789256e-05,1
39,27,car,408.4999792283933,257.9999984918511,404.6413901299124,257.8647009378212,-0.0008521936769326629,-1.2961883575789256e-05,1
39,28,car,408.49999999987574,257.9999999999774,401.7866272574962,257.9982673419253,-0.0008521936769326629,-1.2961883575789256e-05,1
39,29,car,384.00014681713793,258.00000000000006,388.68245711516363,258.2096547148865,-0.0008521936769326629,-1.2961883575789256e-05,1
39,30,car,379.5000305181347,258.99998497731616,383.5535843063503,258.8071875891588,-0.0008521936769326629,-1.2961883575789256e-05,1
39,31,car,383.9999687550432,258.9999999997765,387.9179635862508,259.27569630632746,-0.0008521936769326629,-1.2961883575789256e-05,1
39,32,car,405.4998541955356,259.99998509309444,399.73319347464604,260.1637543938874,-0.0008521936769326629,-1.2961883575789256e-05,1
39,33,car,404.5000060806499,261.49997781108567,403.4897810650205,261.1638183723163,-0.0008521936769326629,-1.2961883575789256e-05,1
39,34,car,403.5000061116753,261.4999999996769,403.88598542910535,261.4165737274941,-0.0008521936769326629,-1.2961883575789256e-05,1
39,35,car,403.00000307102175,261.0000073116263,403.2700592820602,261.1515272902193,-0.0008521936769326629,-1.2961883575789256e-05,1
39,36,car,402.5000030786281,260.50000733977294,402.0921485821637,260.6638252476623,-0.0008521936769326629,-1.2961883575789256e-05,1
39,37,car,399.500018517594,260.9999926322432,399.97035547554515,259.8744454869213,-0.0008521936769326629,-1.2961883575789256e-05,1
39,38,car,398.0000093984786,259.000029358554,398.48673876671626,257.23888500469707,-0.0008521936769326629,-1.2961883575789256e-05,1
39,39,car,398.00000000005906,248.00016397636676,397.8912212581088,252.99195578768877,-0.0008521936769326629,-1.2961883575789256e-05,1
39,40,car,397.5000015782327,257.99991870723716,397.33509586344235,256.51814755016636,-0.0008521936769326629,-1.2961883575789256e-05,1
39,41,car,396.500006328793,259.9999699533925,396.61781537573466,258.983659061506,-0.0008521936769326629,-1.2961883575789256e-05,1
39,42,car,396.000003180413,259.99999999955674,396.04258003736584,259.9754834817318,-0.0008521936769326629,-1.2961883575789256e-05,1
39,43,car,395.5000031884293,260.9999852075398,395.4368340920535,260.623258971632,-0.0008521936769326629,-1.2961883575789256e-05,1
39,44,car,395.00000319649604,260.00001467911574,394.55493116322293,260.737136117675,-0.0008521936769326629,-1.2961883575789256e-05,1
39,45,car,393.5000096137404,261.49997781152877,392.9382369871059,261.9700491347871,-0.0008521936769326629,-1.2961883575789256e-05,1
39,46,car,391.0000080727098,264.4999780646408,390.8383916767434,263.8569130095673,-0.0008521936769326629,-1.2961883575789256e-05,1
