frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
7,17,12,19,142.00,335.50,24.60,58.11
7,17,13,20,142.00,335.50,25.60,60.48
7,17,14,21,142.00,335.50,26.57,62.77
7,17,15,22,142.00,335.50,27.50,64.97
7,19,1,8,57.00,301.50,2.85,15.08
7,19,2,9,57.00,301.50,4.03,21.32
7,19,3,10,57.00,301.50,4.94,26.11
7,19,4,11,57.00,301.50,5.70,30.15
7,19,5,12,57.00,301.50,6.37,33.71
7,19,6,13,57.00,301.50,6.98,36.93
7,19,7,14,57.00,301.50,7.54,39.88
7,19,8,15,57.00,301.50,8.06,42.64
7,19,9,16,57.00,301.50,8.55,45.23
7,19,10,17,57.00,301.50,9.01,47.67
7,19,11,18,57.00,301.50,9.45,50.00
7,19,12,19,57.00,301.50,9.87,52.22
7,19,13,20,57.00,301.50,10.28,54.35
7,19,14,21,57.00,301.50,10.66,56.41
7,19,15,22,57.00,301.50,11.04,58.39
7,20,1,8,16.01,298.50,0.80,14.93
7,20,2,9,16.01,298.50,1.13,21.11
7,20,3,10,16.01,298.50,1.39,25.85
7,20,4,11,16.01,298.50,1.60,29.85
7,20,5,12,16.01,298.50,1.79,33.37
7,20,6,13,16.01,298.50,1.96,36.56
7,20,7,14,16.01,298.50,2.12,39.49
7,20,8,15,16.01,298.50,2.26,42.21
7,20,9,16,16.01,298.50,2.40,44.78
7,20,10,17,16.01,298.50,2.53,47.20
7,20,11,18,16.01,298.50,2.65,49.50
7,20,12,19,16.01,298.50,2.77,51.70
7,20,13,20,16.01,298.50,2.89,53.81
7,20,14,21,16.01,298.50,2.99,55.84
7,20,15,22,16.01,298.50,3.10,57.80
7,24,1,8,61.50,234.50,3.08,11.73
7,24,2,9,61.50,234.50,4.35,16.58
7,24,3,10,61.50,234.50,5.33,20.31
7,24,4,11,61.50,234.50,6.15,23.45
7,24,5,12,61.50,234.50,6.88,26.22
7,24,6,13,61.50,234.50,7.53,28.72
7,24,7,14,61.50,234.50,8.14,31.02
7,24,8,15,61.50,234.50,8.70,33.16
