track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
1,car,2,4,3,0.35,0.174
2,car,2,90,89,830.97,9.443
3,car,2,4,3,0.87,0.433
4,bus,2,11,10,10.04,1.116
5,car,2,4,3,0.37,0.186
6,car,2,63,62,324.78,5.324
7,car,2,51,50,258.29,5.271
8,car,2,90,89,663.19,7.536
9,car,2,90,89,261.93,2.976
10,car,2,90,89,351.27,3.992
11,car,2,90,89,663.9,7.544
12,car,2,4,3,1.74,0.871
13,car,2,4,3,0.03,0.017
14,car,2,90,89,318.05,3.614
15,car,2,4,3,0.35,0.176
16,car,2,90,89,847.47,9.63
17,car,2,90,89,508.65,5.78
18,car,2,86,85,962.78,11.462
19,car,2,90,89,1096.83,12.464
21,car,2,4,3,1.55,0.776
22,car,2,52,51,221.23,4.425
23,car,2,4,3,1.94,0.972
24,car,2,27,26,177.81,7.112
25,car,2,4,3,1.4,0.699
26,car,2,90,89,951.39,10.811
27,car,2,4,3,1.01,0.506
28,car,2,78,77,691.51,9.099
29,car,2,90,89,897.76,10.202
30,car,2,50,49,231.81,4.829
31,car,2,4,3,0.34,0.17
32,car,2,35,34,94.83,2.874
33,car,2,90,89,1101.38,12.516
34,car,2,90,89,224.21,2.548
35,bus,2,84,83,205.36,2.504
36,car,2,90,89,340.72,3.872
37,car,2,4,3,0.28,0.141
38,car,2,79,78,188.01,2.442
39,car,2,90,89,536.39,6.095
40,bus,2,4,3,1.55,0.774
41,car,2,66,65,507.62,7.932
43,car,2,84,83,975.22,11.893
44,car,2,71,70,164.83,2.389
45,car,2,4,3,1.57,0.786
46,car,2,78,77,151.38,1.992
47,car,2,13,12,3.25,0.295
48,car,2,90,89,622.49,7.074
49,car,2,18,17,11.8,0.737
50,car,2,4,3,0.18,0.09
51,car,2,4,3,2.46,1.229
52,car,2,90,89,1099.96,12.5
53,car,2,72,71,161.07,2.301
54,car,2,4,3,0.17,0.087
55,car,2,23,22,61.07,2.908
56,car,2,90,89,817.56,9.291
57,car,2,62,61,831.68,13.861
58,car,2,4,3,1.19,0.597
59,car,2,90,89,382.25,4.344
60,car,2,67,66,517.11,7.956
61,car,2,88,87,169.22,1.968
62,car,2,5,4,4.24,1.413
63,truck,2,4,3,0.72,0.362
64,bus,3,65,63,572.88,9.24
65,truck,2,4,3,0.8,0.399
66,car,2,90,89,939.38,10.675
67,car,2,21,20,37.44,1.97
68,car,2,43,42,186.19,4.541
69,car,2,19,18,69.6,4.094
70,truck,2,4,3,0.38,0.19
71,car,2,4,3,0.14,0.072
72,car,2,72,71,413.33,5.905
73,truck,2,5,4,3.08,1.028
74,car,2,90,89,661.4,7.516
75,car,2,90,89,1410.81,16.032
76,car,2,4,3,0.54,0.27
77,car,2,4,3,0.43,0.213
78,car,2,63,62,488.61,8.01
79,car,2,90,89,1447.03,16.444
80,car,2,90,89,714.25,8.116
81,car,2,19,18,14.02,0.825
82,car,2,46,45,96.56,2.195
83,car,2,90,89,582.53,6.62
84,car,2,4,3,1.13,0.566
