track_id,frame,label,cx,cy,vx,vy,confirmed
2,2,person,584.86,270.62,0.0,-0.0,1
3,2,person,54.07,259.49,0.0,-0.0,1
1,3,person,53.6,280.59,-0.0,-0.0,1
2,3,person,584.58,272.44,0.0,-0.0,1
3,3,person,52.46,260.35,-0.0,-0.0,1
4,3,person,581.92,202.22,-0.0,-0.0,1
1,4,person,53.6,280.59,-0.0,-0.0,1
2,4,person,582.35,272.06,-0.0,-0.0,1
3,4,person,51.63,257.07,-0.0,-0.0,1
4,4,person,584.5,207.47,0.0,0.0,1
1,5,person,53.6,280.59,-0.0,-0.0,1
2,5,person,584.15,272.63,0.0,-0.0,1
3,5,person,52.04,256.15,-0.0,-0.0,1
4,5,person,584.64,208.36,0.0,0.0,1
1,6,person,53.6,280.59,-0.0,-0.0,1
2,6,person,584.06,272.84,0.0,0.0,1
3,6,person,52.27,255.16,-0.0,-0.0,1
4,6,person,584.64,208.36,0.0,0.0,1
1,7,person,53.6,280.59,-0.0,-0.0,1
2,7,person,580.63,273.56,-0.0,0.0,1
3,7,person,52.31,252.48,-0.0,-0.0,1
4,7,person,580.31,207.45,-0.0,0.0,1
1,8,person,53.6,280.59,-0.0,-0.0,1
2,8,person,580.65,275.75,-0.0,0.0,1
3,8,person,50.77,252.13,-0.0,-0.0,1
4,8,person,580.2,206.05,-0.0,0.0,1
1,9,person,53.6,280.59,-0.0,-0.0,1
2,9,person,579.8,274.98,-0.0,0.0,1
3,9,person,51.69,252.06,-0.0,-0.0,1
4,9,person,578.39,204.21,-0.0,0.0,1
1,10,person,52.28,202.5,-0.0,-0.0,1
2,10,person,580.84,274.67,-0.0,0.0,1
3,10,person,51.62,252.38,-0.0,-0.0,1
4,10,person,578.9,209.07,-0.0,0.0,1
1,11,person,52.28,202.5,-0.0,-0.0,1
2,11,person,576.5,274.4,-0.0,0.0,1
3,11,person,50.59,254.46,-0.0,-0.0,1
4,11,person,558.3,206.19,-0.0,0.0,1
1,12,person,52.28,202.5,-0.0,-0.0,1
2,12,person,581.27,270.31,-0.0,-0.0,1
3,12,person,51.25,253.68,-0.0,-0.0,1
4,12,person,558.3,206.19,-0.0,0.0,1
1,13,person,52.28,202.5,-0.0,-0.0,1
2,13,person,581.48,270.75,-0.0,-0.0,1
3,13,person,51.05,253.85,-0.0,-0.0,1
4,13,person,582.56,202.05,0.0,-0.0,1
1,14,person,52.28,202.5,-0.0,-0.0,1
2,14,person,580.26,268.27,-0.0,-0.0,1
3,14,person,50.7,252.65,-0.0,-0.0,1
4,14,person,582.56,202.05,0.0,-0.0,1
1,15,person,52.28,202.5,-0.0,-0.0,1
2,15,person,580.19,269.46,-0.0,-0.0,1
3,15,person,49.91,252.76,-0.0,-0.0,1
4,15,person,582.56,202.05,0.0,-0.0,1
1,16,person,52.28,202.5,-0.0,-0.0,1
2,16,person,581.3,268.63,-0.0,-0.0,1
3,16,person,50.21,253.76,-0.0,-0.0,1
4,16,person,582.56,202.05,0.0,-0.0,1
6,16,person,581.2,206.96,0.0,0.0,1
1,17,person,52.28,202.5,-0.0,-0.0,1
2,17,person,578.09,265.13,-0.0,-0.0,1
3,17,person,50.88,253.62,-0.0,-0.0,1
4,17,person,582.56,202.05,0.0,-0.0,1
6,17,person,581.2,206.96,0.0,0.0,1
1,18,person,50.36,196.45,-0.0,-0.0,1
2,18,person,580.2,265.6,-0.0,-0.0,1
3,18,person,50.88,255.05,-0.0,-0.0,1
4,18,person,581.02,200.51,-0.0,-0.0,1
6,18,person,581.2,206.96,0.0,0.0,1
