frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
2,9,12,14,287.05,194.67,9.83,11.08
2,9,13,15,287.05,194.67,10.22,11.52
2,9,14,16,287.05,194.67,10.60,11.94
2,9,15,17,287.05,194.67,10.96,12.35
2,10,1,3,112.89,195.24,1.91,2.91
2,10,2,4,112.89,195.24,2.44,3.70
2,10,3,5,112.89,195.24,2.88,4.35
2,10,4,6,112.89,195.24,3.26,4.92
2,10,5,7,112.89,195.24,3.60,5.43
2,10,6,8,112.89,195.24,3.91,5.89
2,10,7,9,112.89,195.24,4.20,6.33
2,10,8,10,112.89,195.24,4.47,6.73
2,10,9,11,112.89,195.24,4.73,7.12
2,10,10,12,112.89,195.25,4.97,7.49
2,10,11,13,112.89,195.25,5.20,7.84
2,10,12,14,112.89,195.25,5.43,8.17
2,10,13,15,112.89,195.25,5.64,8.50
2,10,14,16,112.89,195.25,5.85,8.81
2,10,15,17,112.89,195.25,6.05,9.12
3,1,1,4,425.15,217.59,7.09,6.32
3,1,2,5,425.15,217.59,9.02,8.04
3,1,3,6,425.15,217.59,10.61,9.46
3,1,4,7,425.15,217.59,12.00,10.69
3,1,5,8,425.15,217.59,13.25,11.80
3,1,6,9,425.15,217.59,14.39,12.82
3,1,7,10,425.15,217.59,15.45,13.77
3,1,8,11,425.14,217.59,16.45,14.66
3,1,9,12,425.14,217.59,17.39,15.50
3,1,10,13,425.14,217.59,18.29,16.30
3,1,11,14,425.14,217.59,19.15,17.06
3,1,12,15,425.14,217.59,19.98,17.80
3,1,13,16,425.14,217.58,20.77,18.51
3,1,14,17,425.14,217.58,21.54,19.19
3,1,15,18,425.14,217.58,22.29,19.86
3,2,1,4,215.24,229.42,9.37,6.39
3,2,2,5,215.24,229.42,11.98,8.13
3,2,3,6,215.23,229.42,14.13,9.57
3,2,4,7,215.22,229.42,16.00,10.82
3,2,5,8,215.22,229.42,17.67,11.95
3,2,6,9,215.21,229.41,19.21,12.98
3,2,7,10,215.20,229.41,20.63,13.94
3,2,8,11,215.19,229.41,21.97,14.84
3,2,9,12,215.19,229.41,23.24,15.69
3,2,10,13,215.18,229.41,24.44,16.50
3,2,11,14,215.17,229.41,25.59,17.28
3,2,12,15,215.17,229.41,26.70,18.02
3,2,13,16,215.16,229.41,27.76,18.74
3,2,14,17,215.15,229.41,28.79,19.43
3,2,15,18,215.15,229.41,29.79,20.11
3,3,1,4,90.22,282.06,11.58,9.62
3,3,2,5,90.21,282.06,14.67,12.24
3,3,3,6,90.20,282.06,17.23,14.40
3,3,4,7,90.19,282.06,19.46,16.28
3,3,5,8,90.17,282.06,21.47,17.97
3,3,6,9,90.16,282.06,23.31,19.52
3,3,7,10,90.15,282.06,25.02,20.96
3,3,8,11,90.14,282.06,26.63,22.31
3,3,9,12,90.13,282.06,28.16,23.59
3,3,10,13,90.11,282.06,29.61,24.81
3,3,11,14,90.10,282.06,31.00,25.97
3,3,12,15,90.09,282.06,32.33,27.09
3,3,13,16,90.08,282.06,33.62,28.17
3,3,14,17,90.07,282.06,34.86,29.21
3,3,15,18,90.06,282.06,36.07,30.23
3,4,1,4,364.94,204.51,2.69,3.58
3,4,2,5,364.94,204.51,3.43,4.56
3,4,3,6,364.94,204.51,4.04,5.36
3,4,4,7,364.94,204.51,4.57,6.06
3,4,5,8,364.94,204.51,5.04,6.69
3,4,6,9,364.94,204.51,5.48,7.27
3,4,7,10,364.94,204.50,5.88,7.81
3,4,8,11,364.94,204.50,6.26,8.31
3,4,9,12,364.94,204.50,6.62,8.79
3,4,10,13,364.94,204.50,6.96,9.24
3,4,11,14,364.94,204.50,7.29,9.68
3,4,12,15,364.94,204.50,7.61,10.09
3,4,13,16,364.95,204.50,7.91,10.50
3,4,14,17,364.95,204.50,8.20,10.89
3,4,15,18,364.95,204.50,8.49,11.26
3,5,1,4,542.36,214.86,3.17,7.98
3,5,2,5,542.36,214.85,4.04,10.16
3,5,3,6,542.36,214.85,4.76,11.95
3,5,4,7,542.36,214.85,5.38,13.51
3,5,5,8,542.36,214.85,5.94,14.91
3,5,6,9,542.36,214.85,6.45,16.20
3,5,7,10,542.36,214.85,6.93,17.39
3,5,8,11,542.36,214.85,7.37,18.52
3,5,9,12,542.36,214.85,7.80,19.58
3,5,10,13,542.36,214.85,8.20,20.59
3,5,11,14,542.36,214.85,8.58,21.56
3,5,12,15,542.36,214.85,8.95,22.49
3,5,13,16,542.36,214.84,9.31,23.38
3,5,14,17,542.36,214.84,9.66,24.25
3,5,15,18,542.36,214.84,9.99,25.09
3,6,1,4,604.05,224.08,4.41,9.23
3,6,2,5,604.05,224.08,5.63,11.76
3,6,3,6,604.05,224.08,6.63,13.84
3,6,4,7,604.05,224.08,7.50,15.65
3,6,5,8,604.05,224.08,8.28,17.27
3,6,6,9,604.05,224.08,9.00,18.77
3,6,7,10,604.05,224.08,9.67,20.15
3,6,8,11,604.05,224.08,10.29,21.45
3,6,9,12,604.04,224.08,10.88,22.69
3,6,10,13,604.04,224.08,11.45,23.86
3,6,11,14,604.04,224.08,11.98,24.98
3,6,12,15,604.04,224.08,12.50,26.06
3,6,13,16,604.04,224.08,13.00,27.09
3,6,14,17,604.04,224.08,13.48,28.10
3,6,15,18,604.04,224.08,13.94,29.07
3,7,1,4,497.64,202.70,3.05,3.04
3,7,2,5,497.64,202.70,3.88,3.85
3,7,3,6,497.64,202.70,4.56,4.53
3,7,4,7,497.64,202.70,5.15,5.12
3,7,5,8,497.64,202.70,5.68,5.65
3,7,6,9,497.64,202.70,6.17,6.13
3,7,7,10,497.64,202.70,6.62,6.58
3,7,8,11,497.64,202.70,7.05,7.01
3,7,9,12,497.64,202.69,7.45,7.41
3,7,10,13,497.64,202.69,7.84,7.79
3,7,11,14,497.64,202.69,8.21,8.15
3,7,12,15,497.64,202.69,8.56,8.50
3,7,13,16,497.64,202.69,8.90,8.84
3,7,14,17,497.64,202.69,9.23,9.17
3,7,15,18,497.64,202.69,9.55,9.49
3,8,1,4,580.53,214.86,2.16,8.01
3,8,2,5,580.53,214.85,2.74,10.20
3,8,3,6,580.53,214.85,3.22,11.99
3,8,4,7,580.53,214.85,3.64,13.56
3,8,5,8,580.53,214.85,4.02,14.97
3,8,6,9,580.53,214.85,4.36,16.26
3,8,7,10,580.53,214.85,4.69,17.46
3,8,8,11,580.53,214.85,4.99,18.59
3,8,9,12,580.53,214.85,5.27,19.65
3,8,10,13,580.53,214.84,5.54,20.67
3,8,11,14,580.53,214.84,5.80,21.64
