track_id,frame,label,cx,cy,cx_smooth,cy_smooth,vx,vy,confirmed
106,96,pedestrian,541.6080322265625,187.6793212890625,539.8494971906223,196.4701574746818,4.677818857690807e-06,8.488697333535608e-05,1
106,97,pedestrian,541.4116212053449,216.61088605414818,540.46710905627,211.80360985088768,4.677818857690807e-06,8.488697333535608e-05,1
106,98,pedestrian,538.5002491066834,221.23473771435192,541.1691642291747,219.02817135936306,4.677818857690807e-06,8.488697333535608e-05,1
106,99,pedestrian,541.462885516707,216.2325492687285,547.3928696479476,221.15640995883032,4.677818857690807e-06,8.488697333535608e-05,1
106,100,pedestrian,567.1573048129835,230.44940241428944,561.5541588658914,227.93717715981992,4.677818857690807e-06,8.488697333535608e-05,1
106,101,pedestrian,567.4251094470067,230.00841174466575,565.3447822179867,229.62895079309828,4.677818857690807e-06,8.488697333535608e-05,1
106,102,pedestrian,567.9423820092118,230.798668068404,561.1155847827112,228.5712841913749,4.677818857690807e-06,8.488697333535608e-05,1
106,103,pedestrian,537.4041000718811,220.3643099772655,545.0284501520091,223.50250441056286,4.677818857690807e-06,8.488697333535608e-05,1
106,104,pedestrian,537.891295543247,222.60324843151142,539.269676448435,222.60182361939263,4.677818857690807e-06,8.488697333535608e-05,1
106,105,pedestrian,538.3889753306584,222.30115355732633,537.7040952328465,222.40506199755453,4.677818857690807e-06,8.488697333535608e-05,1
106,106,pedestrian,537.5980251896343,223.40522057890632,537.0008653328531,222.69441703462073,4.677818857690807e-06,8.488697333535608e-05,1
106,107,pedestrian,536.95947486567,222.52160889032297,536.6650069179069,222.22813254307454,4.677818857690807e-06,8.488697333535608e-05,1
106,108,pedestrian,536.8715823360868,220.67630679739605,537.0136716822287,221.70729506123584,4.677818857690807e-06,8.488697333535608e-05,1
106,109,pedestrian,537.8168912515704,223.4219712076404,538.7923446526893,223.03360488872394,4.677818857690807e-06,8.488697333535608e-05,1
106,110,pedestrian,542.991437188474,224.30051950969448,543.0012282710899,224.33395486747395,4.677818857690807e-06,8.488697333535608e-05,1
106,111,pedestrian,543.8950164666146,222.05815003828707,547.8660452046322,225.96476041778962,4.677818857690807e-06,8.488697333535608e-05,1
