frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
2,13,12,14,60.55,191.70,10.49,33.20
2,13,13,15,60.55,191.70,10.92,34.56
2,13,14,16,60.55,191.70,11.33,35.86
2,13,15,17,60.55,191.70,11.73,37.12
2,14,1,3,257.34,200.98,12.87,10.05
2,14,2,4,257.34,200.98,18.20,14.21
2,14,3,5,257.34,200.98,22.29,17.41
2,14,4,6,257.34,200.98,25.73,20.10
2,14,5,7,257.34,200.98,28.77,22.47
2,14,6,8,257.34,200.98,31.52,24.61
2,14,7,9,257.34,200.98,34.04,26.59
2,14,8,10,257.34,200.98,36.39,28.42
2,14,9,11,257.34,200.98,38.60,30.15
2,14,10,12,257.34,200.98,40.69,31.78
2,14,11,13,257.34,200.98,42.68,33.33
2,14,12,14,257.34,200.98,44.57,34.81
2,14,13,15,257.34,200.98,46.39,36.23
2,14,14,16,257.34,200.98,48.14,37.60
2,14,15,17,257.34,200.98,49.83,38.92
3,2,1,4,611.29,231.49,30.56,11.57
3,2,2,5,611.29,231.49,43.22,16.37
3,2,3,6,611.29,231.49,52.94,20.05
3,2,4,7,611.29,231.49,61.13,23.15
3,2,5,8,611.29,231.49,68.34,25.88
3,2,6,9,611.29,231.49,74.87,28.35
3,2,7,10,611.29,231.49,80.87,30.62
3,2,8,11,611.29,231.49,86.45,32.74
3,2,9,12,611.29,231.49,91.69,34.72
3,2,10,13,611.29,231.49,96.65,36.60
3,2,11,14,611.29,231.49,101.37,38.39
3,2,12,15,611.29,231.49,105.88,40.10
3,2,13,16,611.29,231.49,110.20,41.73
3,2,14,17,611.29,231.49,114.36,43.31
3,2,15,18,611.29,231.49,118.38,44.83
3,3,1,4,535.51,224.07,26.78,11.20
3,3,2,5,535.51,224.07,37.87,15.84
3,3,3,6,535.51,224.07,46.38,19.41
3,3,4,7,535.51,224.07,53.55,22.41
3,3,5,8,535.51,224.07,59.87,25.05
3,3,6,9,535.51,224.07,65.59,27.44
3,3,7,10,535.51,224.07,70.84,29.64
3,3,8,11,535.51,224.07,75.73,31.69
3,3,9,12,535.51,224.07,80.33,33.61
3,3,10,13,535.51,224.07,84.67,35.43
3,3,11,14,535.51,224.07,88.80,37.16
3,3,12,15,535.51,224.07,92.75,38.81
3,3,13,16,535.51,224.07,96.54,40.40
3,3,14,17,535.51,224.07,100.19,41.92
3,3,15,18,535.51,224.07,103.70,43.39
3,4,1,4,323.45,191.60,16.17,9.58
3,4,2,5,323.45,191.60,22.87,13.55
3,4,3,6,323.45,191.60,28.01,16.59
3,4,4,7,323.45,191.60,32.35,19.16
3,4,5,8,323.45,191.60,36.16,21.42
3,4,6,9,323.45,191.60,39.61,23.47
3,4,7,10,323.45,191.60,42.79,25.35
3,4,8,11,323.45,191.60,45.74,27.10
3,4,9,12,323.45,191.60,48.52,28.74
3,4,10,13,323.45,191.60,51.14,30.30
3,4,11,14,323.45,191.60,53.64,31.77
3,4,12,15,323.45,191.60,56.02,33.19
3,4,13,16,323.45,191.60,58.31,34.54
3,4,14,17,323.45,191.60,60.51,35.85
3,4,15,18,323.45,191.60,62.64,37.10
3,5,1,4,581.77,207.75,29.09,10.39
3,5,2,5,581.77,207.75,41.14,14.69
3,5,3,6,581.77,207.75,50.38,17.99
3,5,4,7,581.77,207.75,58.18,20.78
3,5,5,8,581.77,207.75,65.04,23.23
3,5,6,9,581.77,207.75,71.25,25.44
3,5,7,10,581.77,207.75,76.96,27.48
3,5,8,11,581.77,207.75,82.27,29.38
3,5,9,12,581.77,207.75,87.27,31.16
3,5,10,13,581.77,207.75,91.99,32.85
3,5,11,14,581.77,207.75,96.48,34.45
3,5,12,15,581.77,207.75,100.77,35.98
3,5,13,16,581.77,207.75,104.88,37.45
3,5,14,17,581.77,207.75,108.84,38.87
3,5,15,18,581.77,207.75,112.66,40.23
3,6,1,4,302.19,196.91,15.11,9.85
3,6,2,5,302.19,196.91,21.37,13.92
3,6,3,6,302.19,196.91,26.17,17.05
3,6,4,7,302.19,196.91,30.22,19.69
3,6,5,8,302.19,196.91,33.79,22.02
3,6,6,9,302.19,196.91,37.01,24.12
3,6,7,10,302.19,196.91,39.98,26.05
3,6,8,11,302.19,196.91,42.74,27.85
3,6,9,12,302.19,196.91,45.33,29.54
3,6,10,13,302.19,196.91,47.78,31.13
3,6,11,14,302.19,196.91,50.11,32.65
3,6,12,15,302.19,196.91,52.34,34.11
3,6,13,16,302.19,196.91,54.48,35.50
3,6,14,17,302.19,196.91,56.53,36.84
3,6,15,18,302.19,196.91,58.52,38.13
3,7,1,4,117.80,208.84,5.89,10.44
3,7,2,5,117.80,208.84,8.33,14.77
3,7,3,6,117.80,208.84,10.20,18.09
3,7,4,7,117.80,208.84,11.78,20.88
3,7,5,8,117.80,208.84,13.17,23.35
3,7,6,9,117.80,208.84,14.43,25.58
3,7,7,10,117.80,208.84,15.58,27.63
3,7,8,11,117.80,208.84,16.66,29.53
3,7,9,12,117.80,208.84,17.67,31.33
3,7,10,13,117.80,208.84,18.63,33.02
3,7,11,14,117.80,208.84,19.53,34.63
3,7,12,15,117.80,208.84,20.40,36.17
3,7,13,16,117.80,208.84,21.24,37.65
3,7,14,17,117.80,208.84,22.04,39.07
3,7,15,18,117.80,208.84,22.81,40.44
3,10,1,4,565.65,227.38,28.28,11.37
3,10,2,5,565.65,227.38,40.00,16.08
3,10,3,6,565.65,227.38,48.99,19.69
3,10,4,7,565.65,227.38,56.56,22.74
3,10,5,8,565.65,227.38,63.24,25.42
3,10,6,9,565.65,227.38,69.28,27.85
3,10,7,10,565.65,227.38,74.83,30.08
3,10,8,11,565.65,227.38,79.99,32.16
3,10,9,12,565.65,227.38,84.85,34.11
3,10,10,13,565.65,227.38,89.44,35.95
3,10,11,14,565.65,227.38,93.80,37.71
3,10,12,15,565.65,227.38,97.97,39.38
3,10,13,16,565.65,227.38,101.97,40.99
3,10,14,17,565.65,227.38,105.82,42.54
3,10,15,18,565.65,227.38,109.54,44.03
3,11,1,4,66.27,172.83,3.31,8.64
3,11,2,5,66.27,172.83,4.69,12.22
3,11,3,6,66.27,172.83,5.74,14.97
3,11,4,7,66.27,172.83,6.63,17.28
3,11,5,8,66.27,172.83,7.41,19.32
3,11,6,9,66.27,172.83,8.12,21.17
3,11,7,10,66.27,172.83,8.77,22.86
3,11,8,11,66.27,172.83,9.37,24.44
3,11,9,12,66.27,172.83,9.94,25.92
3,11,10,13,66.27,172.83,10.48,27.33
3,11,11,14,66.27,172.83,10.99,28.66
3,11,12,15,66.27,172.83,11.48,29.93
3,11,13,16,66.27,172.83,11.95,31.16
3,11,14,17,66.27,172.83,12.40,32.33
3,11,15,18,66.27,172.83,12.83,33.47
3,12,1,4,531.07,192.00,26.55,9.60
3,12,2,5,531.07,192.00,37.55,13.58
3,12,3,6,531.07,192.00,45.99,16.63
3,12,4,7,531.07,192.00,53.11,19.20
3,12,5,8,531.07,192.00,59.38,21.47
