TimeSec,SensorId,SensorType,RangeM,BearingRad,WorldX,WorldY,ExtentM,IsGhost,TrueId
0,1,UAV,23.6697504061336,1.03860899948941,22.0104898824083,30.396205948,0.738197222774422,0,1
0,1,UAV,18,-0.501592653589793,25.7827220270971,1.34519293020433,1.4,1,0
0,2,UAV,40.9515379959383,1.77549334944378,61.675759688875,50.0965770044704,3.39024924993952,0,2
0,3,UAV,44.0396540247853,-1.99237749420158,21.9788111014851,29.8163232480298,0.801829544016326,0,1
0,3,UAV,29.7897550052854,-0.735173965717487,62.0954808165947,50.0195287653563,3.43007665184434,0,2
0,3,UAV,24,2.95840734641021,16.401557477378,74.3719001025303,0.7,1,0
0,4,UGV,20.7162137610237,-0.823470764581705,22.0803851532004,29.8044655727427,0.846360055206665,0,1
0,5,UGV,11.2465588381702,2.68333808626361,61.9137934689159,49.9752912992848,3.34517711681573,0,2
0,5,UGV,30,0.135222039230621,101.726142673478,49.0443097997099,1.4,1,0
0,6,UGV,30.910876887969,2.17725490231872,22.3820009916523,30.3985909240068,0.82655254805837,0,1
0.5,1,UAV,23.2730086494601,1.01337134549291,22.3114853786627,29.7499432750785,0.708008406655066,0,1
0.5,2,UAV,40.6191416502969,1.77418860128943,61.7952243749234,49.7818592495252,3.41460354408736,0,2
0.5,2,UAV,28,2.13840734641021,54.9466616767332,33.6092567719797,0.7,1,0
0.5,3,UAV,43.9798255308495,-2.00049323422208,21.6782121578915,30.018289881588,0.837971322048992,0,1
0.5,3,UAV,29.6093142931603,-0.743522189505133,61.7950909391521,49.9579066995178,3.48117559155048,0,2
0.5,4,UGV,20.3442816162181,-0.799027901551136,22.1881776960571,30.419691081973,0.66411395319572,0,1
0.5,4,UGV,9,-0.684777960769379,14.9710355560657,39.3074905993869,1.4,1,0
0.5,5,UGV,11.200776772078,2.68569788845924,61.9431870869071,49.9313197350173,3.34826666261475,0,2
0.5,6,UGV,30.8678371314504,2.17305345008035,22.513249333081,30.4369204167241,0.763683532360271,0,1
0.5,6,UGV,15,2.77522203923062,25.9954953388804,10.3734392335524,0.7,1,0
1,1,UAV,23.5932183832923,1.02668179776925,22.2132818721305,30.1860273356005,0.634082739026642,0,1
1,1,UAV,32,1.31840734641021,17.9909748424874,40.9861956533346,0.7,1,0
1,2,UAV,40.9479624190631,1.77115142080729,61.8506456851516,50.1288381407195,3.34244086886918,0,2
1,3,UAV,43.6123895434771,-1.99103532108491,22.2070755603514,30.182260717402,0.740025820871941,0,1
1,3,UAV,29.7593433103532,-0.740109716794317,61.9741376135758,49.9312234951132,3.39318369220374,0,2
1,3,UAV,13,-1.50477796076938,40.8576154660155,57.02831947231,1.4,1,0
1,4,UGV,20.441593623697,-0.80967479662523,22.0992608511058,30.1990002591431,0.750272450001165,0,1
1,5,UGV,11.3771455711329,2.69020633061409,61.7623525293072,49.9628636504104,3.59206307823426,0,2
1,5,UGV,19,1.95522203923062,64.8744903054031,62.6132652166543,0.7,1,0
1,6,UGV,30.9316257880151,2.18756096100265,22.1091807535281,30.232599164174,1.03558219868932,0,1
1.5,1,UAV,23.6105021341108,1.03701185125807,22.0129050904405,30.325991299637,0.912429120351959,0,1
1.5,2,UAV,40.8592209179523,1.76330178145036,62.1828683306353,50.1044684104632,3.51220395895366,0,2
1.5,2,UAV,17,-2.32477796076938,58.3627066704723,-2.39247368213989,1.4,1,0
1.5,3,UAV,43.5252121604325,-1.9978699565833,21.9714631778683,30.3841451731291,0.766785415014329,0,1
1.5,3,UAV,29.7916892680681,-0.738732374598571,62.025672435386,49.939728236781,3.39967763963587,0,2
1.5,4,UGV,20.5289639655634,-0.797096125203861,22.3453707039283,30.3150178458986,0.679376747646562,0,1
1.5,4,UGV,23,1.13522203923062,17.7044161287785,65.8524412863219,0.7,1,0
1.5,5,UGV,11.5135331097204,2.69228550833172,61.6292051525205,50.0008058250767,3.31919143711064,0,2
1.5,6,UGV,31.0765309384613,2.18150940831966,22.1791076982081,30.4591157100374,0.775862617805458,0,1
1.5,6,UGV,29,-1.68796326794897,36.6099276849876,-23.8011702834969,1.4,1,0
2,1,UAV,23.9730335312124,1.02705866629304,22.4021664179955,30.5156673015766,0.798986027338154,0,1
2,1,UAV,21,3.13840734641021,-10.9998934651809,10.0668913376559,1.4,1,0
2,2,UAV,40.6123203596121,1.76898825293498,62.0035570034236,49.8173010686846,3.47948707489115,0,2
2,3,UAV,43.4438965723447,-1.97929762894964,22.7425900790026,30.1307894208169,0.868126698315361,0,1
2,3,UAV,29.6101706791952,-0.750325077635196,61.6588699618306,49.8095180932306,3.56490732146055,0,2
2,3,UAV,27,0.315222039230619,65.6696442297795,78.3707445974983,0.7,1,0
2,4,UGV,20.6018612248971,-0.800033864891886,22.3529544473384,30.2206432967282,0.711257107430086,0,1
2,5,UGV,11.2853106695483,2.69706808291457,61.8114498138799,49.853007522468,3.4939988446508,0,2
2,5,UGV,8,-2.50796326794897,65.5529283388764,40.2634118823422,1.4,1,0
2,6,UGV,31.1671194710474,2.17273587029396,22.3518621807197,30.6891527231676,0.798485104212053,0,1
2.5,1,UAV,23.9653032377029,1.02025463438905,22.5374234236984,30.4242202585546,0.774768221211276,0,1
2.5,2,UAV,40.6412775108938,1.7758870746225,61.7231597139739,49.7895382305085,3.39187125326394,0,2
2.5,2,UAV,31,-0.504777960769379,97.1337381895874,-4.99200626530439,0.7,1,0
2.5,3,UAV,43.0848653849396,-1.97765051587368,22.9503591939853,30.4321421653352,1.00796616836546,0,1
2.5,3,UAV,29.7498909563855,-0.743694652834318,61.8950946140641,49.8589760995621,3.60750051850917,0,2
2.5,4,UGV,20.4423028277328,-0.7772196254938,22.5726260780235,30.6638110332333,0.702608890466972,0,1
2.5,4,UGV,12,2.95522203923062,-3.79219849222144,47.2235230423925,1.4,1,0
2.5,5,UGV,11.343609038662,2.7182033942832,61.6580124382319,49.6605535394679,3.54808360202978,0,2
2.5,6,UGV,30.7589739120576,2.17725205370637,22.4686517820974,30.2738264966997,0.888688185817865,0,1
2.5,6,UGV,18,0.132036732051034,57.8433245304629,7.369761528209,0.7,1,0
3,1,UAV,24.1195970632933,1.02472713409039,22.5260807497091,30.6119446813588,0.700524926704959,0,1
3,1,UAV,10,-1.32477796076938,12.4354415373579,0.301101891549138,0.7,1,0
3,2,UAV,40.5721171903545,1.7864234649659,61.3191863372557,49.6325644825132,3.29288096998376,0,2
3,3,UAV,43.3979351350985,-1.98399512305175,22.5739511907052,30.254388960713,0.730489425472297,0,1
3,3,UAV,29.5818561954794,-0.750899075696122,61.6265770651822,49.8164081389422,3.50464885819273,0,2
3,3,UAV,16,2.13522203923062,31.4411089437446,83.5183351004164,1.4,1,0
3,4,UGV,20.5896046051722,-0.795030814718321,22.4181335170161,30.3013863346633,1.01247233697554,0,1
3,5,UGV,11.5109617932535,2.72262568226741,61.484624961037,49.6828548125792,3.44845175247056,0,2
3,5,UGV,22,-0.687963267948966,88.9958991424376,31.0307690855906,0.7,1,0
3,6,UGV,30.9649456460491,2.16817924709547,22.5828196260503,30.6021422284167,0.798675250526927,0,1
3.5,1,UAV,24.1249216147302,1.03740799780692,22.2664106719434,30.7737096384856,0.466144340667542,0,1
3.5,2,UAV,40.5993064437473,1.78923247320521,61.2020005334512,49.6345668463768,3.47909828409767,0,2
3.5,2,UAV,20,1.31522203923062,75.056021680098,29.3503654944908,1.4,1,0
3.5,3,UAV,43.0861029521019,-1.98132505583965,22.8045870444164,30.4939240004013,0.896166896702526,0,1
3.5,3,UAV,29.4877993233117,-0.745871838697925,61.6586866054008,49.9892128225566,3.4191521852987,0,2
3.5,4,UGV,20.4856206619667,-0.78872172131809,22.4372979027864,30.466415336463,0.726230944486001,0,1
3.5,4,UGV,26,-1.50796326794897,9.63258479602614,19.0513070293746,0.7,1,0
3.5,5,UGV,11.5282204419379,2.71790082970408,61.4911354578099,49.7395814785501,3.67653110268595,0,2
3.5,6,UGV,30.7624662456381,2.15826722874321,22.9496657396931,30.6049884031574,0.877866673200757,0,1
3.5,6,UGV,32,1.95203673205103,28.0936926635935,34.7025225462591,1.4,1,0
4,1,UAV,24.607133037955,1.0244165526385,22.7858042966224,31.0246095049609,0.707518982832731,0,1
4,1,UAV,24,0.495222039230621,31.1167170995884,21.4054486512347,1.4,1,0
4,2,UAV,40.6277201309442,1.78079952568877,61.5306224219915,49.7351391903873,3.53853081160663,0,2
4,3,UAV,42.723957391867,-1.98489484829014,22.809383045313,30.8870964522027,0.578996779822948,0,1
4,3,UAV,29.3602541831519,-0.759162116701944,61.2983098332014,49.7909296614554,3.33405884297988,0,2
4,3,UAV,30,-2.32796326794897,19.3940445979323,48.1964543716396,0.7,1,0
4,4,UGV,20.5808236210838,-0.764713069154559,22.8507320706746,30.7512787279981,0.81518892656411,0,1
4,5,UGV,11.6499076597664,2.71838664492973,61.3778825348631,49.7844507561388,3.35389309809631,0,2
4,5,UGV,11,1.13203673205103,76.6729856685483,54.9580723506883,1.4,1,0
4,6,UGV,30.9327680180569,2.15661134357771,22.8979317958691,30.7750926361125,0.939002801856852,0,1
4.5,1,UAV,24.4644236049999,1.00901255004408,23.0321168902094,30.7043945017669,0.705710709710058,0,1
4.5,2,UAV,40.5056396431429,1.77564397457148,61.760423980385,49.658747205593,3.61042566213754,0,2
4.5,2,UAV,9,3.13522203923062,61.0001826306552,10.0573351414089,0.7,1,0
4.5,3,UAV,42.6491747398981,-1.97086940406024,23.3887584592677,30.7187225198848,0.650033305914979,0,1
4.5,3,UAV,29.6334685350369,-0.760107206002562,61.4772163692338,49.5825654293655,3.32536483398574,0,2
4.5,4,UGV,20.6039344022065,-0.742578008226971,23.1794909934723,31.0678369938648,0.502129100156295,0,1
4.5,4,UGV,15,0.312036732051034,22.2756540851261,49.6049647601064,1.4,1,0
4.5,5,UGV,11.4978611686088,2.7192279906418,61.5125458935222,49.7131855275516,3.19317764372822,0,2
4.5,6,UGV,31.1211014397879,2.14861806630883,23.0016355790847,31.0687276605385,0.904903779437323,0,1
4.5,6,UGV,21,-2.51114857512855,23.0369181548628,-7.37957407648486,0.7,1,0
5,1,UAV,24.5870413145745,1.02161669551071,22.8341323754411,30.9715914220701,1.02027688555225,0,1
5,1,UAV,13,2.31522203923062,1.19185589110236,19.5612027149774,0.7,1,0
5,2,UAV,40.6135266794687,1.78231787456714,61.4732802873397,49.7083568066678,3.33247058769123,0,2
5,3,UAV,42.4429055081929,-1.98602578076383,22.8785362963305,31.1637320456597,0.88371982772882,0,1
5,3,UAV,29.4030449375397,-0.7717774322794,61.0723449898118,49.4940172576555,3.32590156754469,0,2
5,3,UAV,19,-0.507963267948966,56.6010026772105,60.7584249117778,1.4,1,0
5,4,UGV,20.6013419902686,-0.75527923723591,22.9994283040646,30.8779448255139,0.830469853044532,0,1
5,5,UGV,11.537497409557,2.7471770696399,61.3483367026705,49.4334992360279,3.49129085901314,0,2
5,5,UGV,25,2.95203673205103,47.4477998386605,49.7105697359787,0.7,1,0
5,6,UGV,30.9011222767708,2.15028286165777,23.0787194096384,30.856326520722,0.791905591442499,0,1
5.5,1,UAV,24.707140375637,1.00716510993303,23.2000184391399,30.8854566324942,0.675391637815859,0,1
5.5,2,UAV,40.2050446341664,1.79379361645884,61.1085061921957,49.2095262901898,3.64673472736643,0,2
5.5,2,UAV,23,-1.32796326794897,75.5304311086161,-12.3251949992122,1.4,1,0
5.5,3,UAV,42.7008576933479,-1.97893143805314,23.0521018512204,30.8064801773796,0.804675024303101,0,1
5.5,3,UAV,29.3385486187432,-0.769051431397922,61.081820788948,49.5963908271836,3.35250449861258,0,2
5.5,4,UGV,20.3778054834459,-0.750301785066123,22.9060208796827,31.1051988911096,0.72446645646633,0,1
5.5,4,UGV,29,2.13203673205103,-7.43486513234369,69.5512716238154,0.7,1,0
5.5,5,UGV,11.584188519663,2.75300312405965,61.2794777890487,49.3890576646464,3.45144579691532,0,2
5.5,6,UGV,31.0869795991826,2.14265667229709,23.1758093098769,31.1409048853013,0.849554448043375,0,1
5.5,6,UGV,10,-0.691148575128555,47.7051439565857,-1.37422596150241,1.4,1,0
6,1,UAV,24.9749474273347,1.01575414787424,23.1612765070562,31.2256637046511,0.742280552028451,0,1
6,1,UAV,27,-2.14796326794897,-4.73260380486358,-12.6263206272898,1.4,1,0
6,2,UAV,40.4363599104833,1.80219326034911,60.7264284153467,49.3586086247272,3.41006726248732,0,2
6,3,UAV,42.1715097127067,-1.98080870060249,23.1895642806594,31.3238383190002,1.00052033910652,0,1
6,3,UAV,29.614249814188,-0.781510970017823,61.0216779782587,49.1411206668353,3.45015372935178,0,2
6,3,UAV,8,1.31203673205103,42.0470531137478,77.7336649493947,0.7,1,0
6,4,UGV,20.2988087727918,-0.737441058901849,23.0250077859396,31.3511620045213,0.889866270816886,0,1
6,5,UGV,11.9436706037633,2.74957729087131,60.9623647288867,49.563099288102,3.65626759372085,0,2
6,5,UGV,14,-1.51114857512855,72.8345734360563,31.0248975968035,1.4,1,0
6,6,UGV,31.0858397461181,2.13736069252648,23.3150981036841,31.2286766999719,0.763072169084769,0,1
6.5,1,UAV,24.9391476533448,1.00870811258524,23.2914256969255,31.1021109991026,1.06818424480742,0,1
6.5,2,UAV,40.3542831320989,1.78442467683253,61.4446031043697,49.4369541301537,3.57996088546325,0,2
6.5,2,UAV,12,0.492036732051034,80.5764698843468,15.6690638367816,0.7,1,0
6.5,3,UAV,42.1310486285045,-1.96904048356406,23.6615581018034,31.1659868816437,0.670168127533158,0,1
6.5,3,UAV,29.4991823347143,-0.771084899762587,61.1554864114153,49.4416159897441,3.4728475047894,0,2
6.5,4,UGV,20.4452825949804,-0.739905643411957,23.0994991040956,31.2154177722347,0.874145428878513,0,1
6.5,4,UGV,18,-2.33114857512855,-4.40518104355465,31.9573207017641,1.4,1,0
6.5,5,UGV,11.7824529701051,2.77315814380848,61.0082402507924,49.2435145349625,3.32768797155834,0,2
