track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
1,truck,59,63,5,1.58,0.395
2,truck,68,84,17,20.57,1.285
3,truck,88,90,3,0.85,0.424
4,truck,90,142,53,169.54,3.26
5,truck,94,96,3,0.58,0.291
7,truck,146,150,5,2.95,0.736
9,truck,154,161,8,6.54,0.934
10,truck,165,174,10,6.55,0.728
11,car,178,190,13,4.47,0.372
12,truck,178,183,6,1.36,0.273
13,truck,189,194,6,2.74,0.547
14,car,194,199,6,2.61,0.523
15,truck,201,213,13,0.0,0.0
16,car,203,219,17,20.06,1.254
17,car,203,205,3,0.88,0.438
20,car,209,211,3,1.82,0.909
21,person,212,225,14,1.64,0.126
22,person,214,228,15,1.7,0.122
23,car,215,219,5,2.97,0.742
25,car,223,225,3,1.22,0.609
27,car,230,238,9,4.83,0.604
29,car,244,246,3,0.49,0.246
30,car,250,256,7,1.49,0.248
32,car,260,262,3,0.88,0.442
33,car,266,268,3,1.52,0.761
35,car,273,275,3,0.99,0.496
37,car,281,283,3,0.31,0.153
44,car,315,317,3,0.49,0.245
49,car,332,345,14,0.76,0.059
52,bus,344,362,19,5.51,0.306
54,truck,351,364,14,1.12,0.086
55,truck,353,377,25,11.66,0.486
60,truck,387,389,3,1.59,0.793
61,car,391,410,20,9.57,0.504
62,truck,393,398,6,5.24,1.047
65,truck,403,425,23,54.38,2.472
66,truck,412,414,3,1.16,0.578
67,truck,417,425,9,1.33,0.166
68,truck,418,420,3,1.31,0.653
71,truck,424,425,2,2.11,2.106
