track_id,frame,label,cx,cy,vx,vy,confirmed
13,190,truck,545.24,251.21,0.0,0.0,1
13,191,truck,547.36,251.11,0.0,0.0,1
13,192,truck,547.91,250.84,0.0,0.0,1
13,193,truck,547.91,250.84,0.0,0.0,1
13,194,truck,547.91,250.84,0.0,0.0,1
14,194,car,537.13,223.45,0.0,0.0,1
14,195,car,537.13,223.45,0.0,0.0,1
14,196,car,537.13,223.45,0.0,0.0,1
14,197,car,537.13,223.45,0.0,0.0,1
14,198,car,538.43,223.62,0.0,0.0,1
14,199,car,539.73,223.71,0.0,0.0,1
15,201,truck,554.86,251.45,0.0,0.0,1
15,202,truck,554.86,251.45,0.0,0.0,1
15,203,truck,554.86,251.45,0.0,0.0,1
16,203,car,625.4,259.39,0.0,0.0,1
17,203,car,542.71,223.54,0.0,0.0,1
15,204,truck,554.86,251.45,0.0,0.0,1
16,204,car,625.4,259.39,0.0,0.0,1
17,204,car,543.13,223.53,0.0,0.0,1
15,205,truck,554.86,251.45,0.0,0.0,1
16,205,car,625.4,259.39,0.0,0.0,1
17,205,car,542.68,223.6,0.0,0.0,1
15,206,truck,554.86,251.45,0.0,0.0,1
16,206,car,625.4,259.39,0.0,0.0,1
15,207,truck,554.86,251.45,0.0,0.0,1
16,207,car,623.55,259.33,-0.0,0.0,1
15,208,truck,554.86,251.45,0.0,0.0,1
16,208,car,623.42,259.44,-0.0,0.0,1
15,209,truck,554.86,251.45,0.0,0.0,1
16,209,car,626.45,259.89,0.0,0.0,1
20,209,car,543.99,223.73,-0.0,-0.0,1
15,210,truck,554.86,251.45,0.0,0.0,1
16,210,car,623.51,259.77,-0.0,0.0,1
20,210,car,545.07,223.6,0.0,-0.0,1
15,211,truck,554.86,251.45,0.0,0.0,1
16,211,car,627.13,259.0,0.0,-0.0,1
20,211,car,545.8,223.61,0.0,-0.0,1
15,212,truck,554.86,251.45,0.0,0.0,1
16,212,car,630.5,260.03,0.0,0.0,1
21,212,person,569.57,251.5,0.0,0.0,1
15,213,truck,554.86,251.45,0.0,0.0,1
16,213,car,630.35,260.4,0.0,0.0,1
21,213,person,570.99,252.32,0.0,0.0,1
16,214,car,631.33,260.21,0.0,0.0,1
21,214,person,570.99,252.32,0.0,0.0,1
22,214,person,597.08,249.37,0.0,0.0,1
16,215,car,631.96,260.42,0.0,0.0,1
21,215,person,570.99,252.32,0.0,0.0,1
22,215,person,596.49,249.45,0.0,0.0,1
23,215,car,547.81,223.85,0.0,0.0,1
16,216,car,633.96,261.43,0.0,0.0,1
21,216,person,570.99,252.32,0.0,0.0,1
22,216,person,597.55,249.77,0.0,0.0,1
23,216,car,548.68,223.98,0.0,0.0,1
16,217,car,634.08,260.94,0.0,0.0,1
21,217,person,570.99,252.32,0.0,0.0,1
22,217,person,597.55,249.77,0.0,0.0,1
23,217,car,548.68,223.98,0.0,0.0,1
16,218,car,634.08,260.94,0.0,0.0,1
21,218,person,570.99,252.32,0.0,0.0,1
22,218,person,597.55,249.77,0.0,0.0,1
23,218,car,550.76,224.18,0.0,0.0,1
16,219,car,634.08,260.94,0.0,0.0,1
21,219,person,570.99,252.32,0.0,0.0,1
22,219,person,597.55,249.77,0.0,0.0,1
23,219,car,550.76,224.18,0.0,0.0,1
21,220,person,570.99,252.32,0.0,0.0,1
22,220,person,597.55,249.77,0.0,0.0,1
21,221,person,570.99,252.32,0.0,0.0,1
22,221,person,597.55,249.77,0.0,0.0,1
21,222,person,570.99,252.32,0.0,0.0,1
22,222,person,597.55,249.77,0.0,0.0,1
21,223,person,570.99,252.32,0.0,0.0,1
22,223,person,597.55,249.77,0.0,0.0,1
25,223,car,551.98,223.86,-0.0,-0.0,1
21,224,person,570.99,252.32,0.0,0.0,1
22,224,person,597.55,249.77,0.0,0.0,1
25,224,car,552.52,224.0,0.0,0.0,1
21,225,person,570.99,252.32,0.0,0.0,1
22,225,person,597.55,249.77,0.0,0.0,1
25,225,car,553.18,224.01,0.0,0.0,1
22,226,person,597.55,249.77,0.0,0.0,1
22,227,person,597.55,249.77,0.0,0.0,1
22,228,person,597.55,249.77,0.0,0.0,1
27,230,car,554.77,223.93,0.0,-0.0,1
27,231,car,555.14,223.97,0.0,-0.0,1
27,232,car,556.27,224.02,0.0,0.0,1
27,233,car,556.27,224.02,0.0,0.0,1
27,234,car,556.27,224.02,0.0,0.0,1
27,235,car,556.27,224.02,0.0,0.0,1
27,236,car,556.27,224.02,0.0,0.0,1
27,237,car,559.35,224.12,0.0,0.0,1
27,238,car,559.6,224.12,0.0,0.0,1
29,244,car,562.84,224.29,0.0,-0.0,1
29,245,car,562.94,224.19,0.0,-0.0,1
29,246,car,563.29,224.2,0.0,-0.0,1
30,250,car,565.97,224.73,0.0,0.0,1
30,251,car,565.97,224.73,0.0,0.0,1
30,252,car,565.97,224.73,0.0,0.0,1
30,253,car,567.2,224.66,0.0,0.0,1
30,254,car,567.43,224.55,0.0,-0.0,1
30,255,car,567.43,224.55,0.0,-0.0,1
30,256,car,567.43,224.55,0.0,-0.0,1
32,260,car,570.65,224.89,0.0,0.0,1
32,261,car,571.24,224.78,0.0,-0.0,1
32,262,car,571.52,224.73,0.0,-0.0,1
33,266,car,573.06,224.62,0.0,0.0,1
33,267,car,573.49,224.66,0.0,0.0,1
33,268,car,574.58,224.67,0.0,0.0,1
35,273,car,575.96,225.12,0.0,0.0,1
35,274,car,576.29,225.1,0.0,-0.0,1
35,275,car,576.95,225.07,0.0,-0.0,1
37,281,car,580.17,224.98,0.0,-0.0,1
37,282,car,580.33,224.99,0.0,-0.0,1
37,283,car,580.47,224.95,0.0,-0.0,1
44,315,car,597.38,225.45,0.0,-0.0,1
44,316,car,597.61,225.44,0.0,-0.0,1
44,317,car,597.75,225.22,0.0,-0.0,1
49,332,car,605.96,225.37,0.0,-0.0,1
49,333,car,606.72,225.33,0.0,-0.0,1
49,334,car,606.72,225.33,0.0,-0.0,1
49,335,car,606.72,225.33,0.0,-0.0,1
49,336,car,606.72,225.33,0.0,-0.0,1
49,337,car,606.72,225.33,0.0,-0.0,1
49,338,car,606.72,225.33,0.0,-0.0,1
49,339,car,606.72,225.33,0.0,-0.0,1
49,340,car,606.72,225.33,0.0,-0.0,1
49,341,car,606.72,225.33,0.0,-0.0,1
49,342,car,606.72,225.33,0.0,-0.0,1
49,343,car,606.72,225.33,0.0,-0.0,1
49,344,car,606.72,225.33,0.0,-0.0,1
52,344,bus,409.55,238.09,0.0,0.0,1
49,345,car,606.72,225.33,0.0,-0.0,1
52,345,bus,411.38,238.43,0.0,0.0,1
52,346,bus,411.38,238.43,0.0,0.0,1
52,347,bus,411.38,238.43,0.0,0.0,1
52,348,bus,411.38,238.43,0.0,0.0,1
52,349,bus,412.46,239.36,0.0,0.0,1
52,350,bus,414.46,238.4,0.0,0.0,1
52,351,bus,414.46,238.4,0.0,0.0,1
54,351,truck,45.87,257.79,0.0,-0.0,1
52,352,bus,414.46,238.4,0.0,0.0,1
54,352,truck,46.92,257.39,0.0,-0.0,1
52,353,bus,414.46,238.4,0.0,0.0,1
54,353,truck,46.92,257.39,0.0,-0.0,1
55,353,truck,47.88,271.55,0.0,0.0,1
52,354,bus,414.46,238.4,0.0,0.0,1
54,354,truck,46.92,257.39,0.0,-0.0,1
55,354,truck,47.88,271.55,0.0,0.0,1
52,355,bus,414.46,238.4,0.0,0.0,1
54,355,truck,46.92,257.39,0.0,-0.0,1
55,355,truck,47.88,271.55,0.0,0.0,1
52,356,bus,414.46,238.4,0.0,0.0,1
54,356,truck,46.92,257.39,0.0,-0.0,1
55,356,truck,47.88,271.55,0.0,0.0,1
52,357,bus,414.46,238.4,0.0,0.0,1
54,357,truck,46.92,257.39,0.0,-0.0,1
55,357,truck,47.88,271.55,0.0,0.0,1
52,358,bus,414.46,238.4,0.0,0.0,1
54,358,truck,46.92,257.39,0.0,-0.0,1
55,358,truck,47.88,271.55,0.0,0.0,1
52,359,bus,414.46,238.4,0.0,0.0,1
54,359,truck,46.92,257.39,0.0,-0.0,1
55,359,truck,50.42,271.55,0.0,0.0,1
52,360,bus,414.46,238.4,0.0,0.0,1
54,360,truck,46.92,257.39,0.0,-0.0,1
55,360,truck,50.42,271.55,0.0,0.0,1
52,361,bus,414.46,238.4,0.0,0.0,1
54,361,truck,46.92,257.39,0.0,-0.0,1
55,361,truck,50.42,271.55,0.0,0.0,1
52,362,bus,414.46,238.4,0.0,0.0,1
54,362,truck,46.92,257.39,0.0,-0.0,1
55,362,truck,50.42,271.55,0.0,0.0,1
54,363,truck,46.92,257.39,0.0,-0.0,1
55,363,truck,50.42,271.55,0.0,0.0,1
54,364,truck,46.92,257.39,0.0,-0.0,1
55,364,truck,50.42,271.55,0.0,0.0,1
55,365,truck,50.01,262.44,0.0,-0.0,1
55,366,truck,50.01,262.44,0.0,-0.0,1
55,367,truck,50.01,262.44,0.0,-0.0,1
55,368,truck,50.01,262.44,0.0,-0.0,1
55,369,truck,50.01,262.44,0.0,-0.0,1
55,370,truck,50.01,262.44,0.0,-0.0,1
55,371,truck,50.01,262.44,0.0,-0.0,1
55,372,truck,50.01,262.44,0.0,-0.0,1
55,373,truck,50.01,262.44,0.0,-0.0,1
55,374,truck,50.01,262.44,0.0,-0.0,1
55,375,truck,50.01,262.44,0.0,-0.0,1
55,376,truck,50.01,262.44,0.0,-0.0,1
55,377,truck,50.01,262.44,0.0,-0.0,1
60,387,truck,57.26,264.24,0.0,0.0,1
60,388,truck,57.94,264.66,0.0,0.0,1
60,389,truck,58.65,264.32,0.0,0.0,1
61,391,car,16.69,256.29,-0.0,0.0,1
61,392,car,16.46,256.55,-0.0,0.0,1
61,393,car,15.06,258.36,-0.0,0.0,1
62,393,truck,60.31,265.06,0.0,-0.0,1
61,394,car,15.73,259.88,-0.0,0.0,1
62,394,truck,60.98,265.13,0.0,0.0,1
61,395,car,15.83,258.56,-0.0,0.0,1
62,395,truck,60.78,265.25,0.0,0.0,1
61,396,car,17.64,257.02,0.0,0.0,1
62,396,truck,58.92,265.49,0.0,0.0,1
61,397,car,18.13,256.0,0.0,0.0,1
62,397,truck,60.89,265.44,0.0,0.0,1
61,398,car,18.44,255.68,0.0,0.0,1
62,398,truck,61.19,265.06,0.0,-0.0,1
61,399,car,18.44,255.68,0.0,0.0,1
61,400,car,18.44,255.68,0.0,0.0,1
61,401,car,18.44,255.68,0.0,0.0,1
61,402,car,18.44,255.68,0.0,0.0,1
61,403,car,18.44,255.68,0.0,0.0,1
65,403,truck,471.05,267.36,-0.0,-0.0,1
61,404,car,18.44,255.68,0.0,0.0,1
65,404,truck,471.05,267.36,-0.0,-0.0,1
61,405,car,18.44,255.68,0.0,0.0,1
65,405,truck,472.57,267.48,-0.0,-0.0,1
61,406,car,18.44,255.68,0.0,0.0,1
65,406,truck,473.8,267.47,-0.0,-0.0,1
61,407,car,18.44,255.68,0.0,0.0,1
65,407,truck,474.22,267.78,-0.0,-0.0,1
61,408,car,18.44,255.68,0.0,0.0,1
65,408,truck,482.86,267.91,0.0,-0.0,1
61,409,car,18.44,255.68,0.0,0.0,1
65,409,truck,482.86,267.91,0.0,-0.0,1
61,410,car,18.44,255.68,0.0,0.0,1
65,410,truck,482.86,267.91,0.0,-0.0,1
65,411,truck,486.88,271.54,0.0,0.0,1
65,412,truck,487.38,273.78,0.0,0.0,1
66,412,truck,67.9,266.38,-0.0,0.0,1
65,413,truck,488.18,273.51,0.0,0.0,1
66,413,truck,68.13,266.23,-0.0,0.0,1
65,414,truck,488.55,273.27,0.0,0.0,1
66,414,truck,67.28,266.46,-0.0,0.0,1
65,415,truck,489.96,274.99,0.0,0.0,1
65,416,truck,487.62,268.6,0.0,-0.0,1
65,417,truck,492.27,275.42,0.0,0.0,1
67,417,truck,174.13,294.4,0.0,0.0,1
65,418,truck,493.12,275.59,0.0,0.0,1
67,418,truck,174.61,294.27,0.0,-0.0,1
68,418,truck,68.12,267.76,0.0,-0.0,1
65,419,truck,494.32,275.52,0.0,0.0,1
67,419,truck,175.43,294.4,0.0,0.0,1
68,419,truck,68.24,267.0,0.0,-0.0,1
65,420,truck,495.32,275.14,0.0,0.0,1
67,420,truck,175.43,294.4,0.0,0.0,1
68,420,truck,68.76,267.13,0.0,-0.0,1
65,421,truck,496.44,273.98,0.0,0.0,1
67,421,truck,175.43,294.4,0.0,0.0,1
65,422,truck,494.41,268.57,0.0,-0.0,1
67,422,truck,175.43,294.4,0.0,0.0,1
65,423,truck,495.84,268.26,0.0,-0.0,1
67,423,truck,175.43,294.4,0.0,0.0,1
65,424,truck,492.98,268.53,0.0,-0.0,1
67,424,truck,175.43,294.4,0.0,0.0,1
71,424,truck,67.49,267.87,0.0,-0.0,1
65,425,truck,491.67,268.69,0.0,-0.0,1
67,425,truck,175.43,294.4,0.0,0.0,1
71,425,truck,69.59,268.03,0.0,0.0,1
