track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
560,car,314,316,3,1.2,0.598
561,car,314,327,14,23.74,1.826
562,car,314,316,3,1.71,0.854
563,person,315,318,4,2.23,0.743
564,person,315,317,3,0.58,0.29
565,person,316,318,3,1.7,0.85
566,person,318,320,3,0.6,0.301
567,car,318,320,3,0.67,0.337
568,person,319,321,3,1.15,0.573
569,person,319,338,20,18.31,0.964
570,bus,320,322,3,1.88,0.942
571,car,320,322,3,1.02,0.508
572,person,321,324,4,3.19,1.064
573,person,323,325,3,0.89,0.444
574,person,324,343,20,42.24,2.223
575,person,324,326,3,0.72,0.358
576,car,324,326,3,1.43,0.717
577,person,325,327,3,3.29,1.646
578,person,325,401,77,462.99,6.092
579,person,325,358,34,95.0,2.879
580,car,327,352,26,72.39,2.896
581,bus,326,328,3,0.71,0.357
582,car,326,349,24,37.71,1.64
583,person,328,330,3,1.31,0.656
584,person,329,335,7,8.88,1.48
585,person,330,332,3,1.65,0.827
586,car,330,345,16,4.62,0.308
587,car,332,338,7,2.53,0.421
589,person,331,379,49,97.87,2.039
590,person,330,332,3,0.13,0.067
591,car,331,333,3,0.63,0.317
592,car,334,426,93,193.69,2.105
593,car,331,333,3,1.82,0.909
594,person,331,333,3,2.3,1.148
595,car,334,336,3,1.01,0.507
596,person,331,338,8,0.9,0.129
597,car,331,383,53,190.67,3.667
598,person,331,333,3,0.53,0.263
599,car,332,352,21,33.74,1.687
600,bus,332,334,3,1.27,0.634
601,person,334,336,3,1.13,0.566
602,bus,335,338,4,2.03,0.676
603,person,336,338,3,2.48,1.239
604,person,336,338,3,0.54,0.27
606,person,337,339,3,2.13,1.063
607,person,337,350,14,0.36,0.028
608,bus,338,398,61,126.72,2.112
609,person,339,345,7,2.14,0.356
610,person,339,402,64,232.96,3.698
611,person,340,342,3,0.55,0.276
612,person,342,344,3,2.31,1.153
613,bus,343,347,5,1.11,0.277
614,person,342,362,21,42.21,2.11
615,car,342,344,3,1.13,0.566
616,bus,342,346,5,2.62,0.655
618,person,343,392,50,92.3,1.884
620,car,343,354,12,10.02,0.911
621,person,344,346,3,1.17,0.586
622,person,345,347,3,1.28,0.64
623,person,344,355,12,2.63,0.239
625,person,347,354,8,8.67,1.239
626,person,350,383,34,92.58,2.805
627,person,348,350,3,2.63,1.315
628,car,348,361,14,18.98,1.46
629,person,349,351,3,0.32,0.161
630,person,350,352,3,0.61,0.307
631,bus,350,364,15,2.12,0.151
632,person,356,364,9,6.37,0.797
633,truck,358,362,5,2.43,0.607
634,person,354,356,3,1.64,0.819
635,person,354,376,23,81.47,3.703
636,car,354,367,14,3.88,0.298
638,car,359,376,18,36.37,2.139
639,car,357,383,27,32.83,1.263
640,person,359,385,27,71.74,2.759
641,person,359,365,7,4.69,0.781
642,person,360,409,50,269.51,5.5
643,car,360,362,3,0.51,0.255
644,person,360,373,14,7.32,0.563
646,person,363,367,5,2.28,0.57
649,truck,366,369,4,4.01,1.336
650,bus,369,371,3,1.91,0.956
651,car,369,381,13,0.0,0.0
653,car,371,373,3,0.33,0.164
654,person,371,383,13,0.0,0.0
655,truck,373,375,3,0.42,0.21
658,bus,375,377,3,0.56,0.281
661,car,377,388,12,0.95,0.087
662,car,377,399,23,17.49,0.795
663,car,378,444,67,113.01,1.712
664,person,378,391,14,1.64,0.126
665,person,378,385,8,0.33,0.047
667,truck,379,381,3,0.13,0.067
668,car,380,382,3,0.49,0.245
669,person,380,382,3,0.46,0.232
670,car,380,382,3,0.18,0.092
672,car,380,382,3,0.43,0.217
673,bus,381,383,3,0.4,0.198
674,person,383,385,3,0.16,0.081
675,person,385,387,3,0.46,0.229
676,truck,385,387,3,0.52,0.262
678,person,387,389,3,0.17,0.087
679,car,387,389,3,0.86,0.43
680,bus,387,389,3,0.18,0.092
681,car,387,524,138,529.59,3.866
682,car,387,389,3,0.44,0.219
683,person,388,400,13,1.75,0.146
684,person,387,426,40,69.92,1.793
685,car,388,402,15,0.74,0.053
686,car,391,411,21,4.74,0.237
687,person,389,391,3,1.3,0.648
688,truck,391,393,3,0.41,0.206
690,person,394,398,5,3.05,0.764
691,bus,393,397,5,2.31,0.579
692,person,393,395,3,0.18,0.092
693,car,393,395,3,0.5,0.249
694,bus,393,395,3,0.32,0.161
695,person,393,395,3,0.76,0.382
696,person,393,411,19,23.94,1.33
697,car,393,395,3,0.53,0.263
